tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
277329402,"5851.01","PC",4.5049415,2459790.9487020,2.3720000
387844266,"5852.01","PC",3.9956793,2459788.3377980,2.0560000
278623780,"5853.01","PC",3.7219898,2459793.8444980,2.3060000
346154016,"5854.01","PC",4.4499140,2459795.7589290,2.4490000
41422753,"5855.01","FP",2.4710528,2459792.2101910,3.0330000
3680800,"5856.01","PC",0.5498864,2459795.6078630,1.5880000
336072306,"5857.01","PC",3.4150470,2459790.1278730,1.4060000
256046749,"5858.01","PC",7.1476512,2459778.0654250,3.0300000
114947483,"5859.01","PC",3.3787501,2459794.5563090,1.8370000
131979339,"586.01","FP",22.6384642,2459986.4762630,4.9880000
462372373,"5860.01","APC",5.2498931,2459795.3554480,1.6660000
11034516,"5861.01","PC",14.3033451,2459771.8755910,4.7690000
20988926,"5862.01","FP",5.3194765,2459791.2464520,4.6530000
345205395,"5863.01","PC",2.8492565,2459788.3521760,1.8460000
157081737,"6095.01","PC",2.1613171,2459986.8348690,1.2890000
262781201,"6096.01","FP",1.3154261,2460283.5521400,2.1210000
293743169,"6097.01","PC",1.1256838,2459986.7837610,1.7730000
269341832,"6098.01","PC",2.7297541,2460010.1254610,1.4390000
118914286,"6099.01","PC",5.2887576,2460009.8935740,2.2840000
80275202,"610.01","FP",3.6649528,2459983.3172580,3.2450000
170434745,"6100.01","PC",1.2280156,2459963.8748230,1.0677974
19342878,"6101.01","CP",1.3328252,2459963.4299380,2.0496174
55849732,"6102.01","PC",5.3708293,2459965.3909630,2.9133817
92590258,"6103.01","PC",3.2422424,2459965.8191350,3.1662519
265010875,"6104.01","PC",6.4095555,2459968.4662030,8.4737438
182405015,"6105.01","PC",3.1122458,2459963.3679680,2.4986472
258234731,"6106.01","APC",6.4240944,2459964.6245130,4.0307342
152245179,"6107.01","PC",3.7899018,2459966.3399780,3.9779406
255780160,"6108.01","PC",3.8783341,2459962.9056100,3.6211626
384984325,"6109.01","CP",8.5386633,2459908.0906350,2.3370000
384984325,"6109.02","CP",5.6952223,2459900.8195010,1.1070000
9136777,"6356.01","PC",3.7799201,2459930.5553840,3.4930000
122881136,"6357.01","PC",5.1941869,2459933.8294980,1.5810000
259708416,"6358.01","PC",5.3802465,2459930.3088400,3.5380000
267617257,"6359.01","PC",2.4398136,2459934.9242540,3.7510000
146463781,"636.01","FP",0.4179210,2458517.4768160,1.8439470
458987621,"6360.01","PC",1.9765848,2459936.5507690,1.3470000
450308346,"6361.01","PC",5.9419732,2459926.6076360,2.3610000
148514918,"6362.01","PC",6.0602101,2459932.6377580,3.0360000
311284709,"6363.01","PC",6.5836940,2459929.1497800,4.6350000
407517154,"6364.01","PC",25.8866192,2459899.6250010,3.7370000
272994016,"6365.01","PC",3.0496565,2459934.0724630,3.4550000
279851358,"6366.01","APC",18.8934750,2459932.0314870,3.4570000
259502942,"6367.01","PC",2.1653281,2459933.7137130,2.7320000
274002141,"6368.01","FP",1.6197991,2459935.1622550,0.9500000
274472658,"6369.01","PC",13.2329062,2459934.3947030,6.2450000
133334108,"637.01","PC",2.8579169,2460008.5949410,3.8180000
251705938,"6370.01","PC",2.9124991,2459934.3863860,4.1750000
279725262,"6371.01","PC",1.8597817,2459934.3673580,1.1560000
115899725,"6372.01","PC",6.5587386,2459934.5779230,2.1960000
148691985,"6626.01","PC",1.2864856,2460092.4103850,1.3280000
411463659,"6627.01","PC",4.8934688,2460092.0363590,3.1570000
75650448,"6628.01","CP",18.1841890,2460093.8297350,3.6960000
160442729,"6629.01","PC",4.3664669,2460086.3177170,2.0040000
54962195,"663.01","CP",2.5989031,2458544.3877110,1.6635706
54962195,"663.02","CP",4.6955986,2458543.4050680,2.1638721
54962195,"663.03","CP",7.1024749,2458547.1387970,2.7542652
312612366,"6630.01","PC",7.7103227,2460082.1693060,4.4060000
457446242,"6631.01","PC",3.4714821,2460094.2700960,3.2450000
292349703,"6632.01","PC",5.8778295,2460085.9347100,3.3920000
38584799,"6633.01","PC",6.5479496,2460149.0738840,2.3310000
400491269,"6634.01","PC",23.1367550,2460073.5451490,7.1790000
330424797,"6635.01","PC",8.6243051,2460091.4199660,5.5840000
209054294,"6636.01","PC",3.5171227,2460092.8693140,2.3270000
256124756,"6637.01","APC",2.2312930,2460094.0093920,1.7960000
460316238,"6638.01","PC",4.1400970,2460092.2791420,2.8960000
446918603,"6639.01","PC",8.0136668,2460117.1370390,4.0560000
55092869,"664.01","KP",4.7359232,2459988.8844200,7.0819612
184531966,"5864.01","PC",10.4453589,2459818.4121190,4.5480000
383216635,"5865.01","PC",6.6314176,2459815.8366650,2.3720000
341297143,"5866.01","FP",3.8421028,2459813.9076290,1.1840000
380517859,"5867.01","FP",1.1094350,2459823.5701090,2.7230000
