kepid,kepler_name,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration
4380560,,"K07548.01","FALSE POSITIVE",0.705816203,131.94499,5.55
4384652,,"K07549.01","FALSE POSITIVE",374.51648,430.92524,6.088
7697568,,"K01829.02","FALSE POSITIVE",10.3482112,136.63763,2.089
4483235,,"K07550.01","FALSE POSITIVE",1.7609276,132.30263,5.189
4662363,,"K07551.01","FALSE POSITIVE",321.24194284,451.2907139,10.16
4680745,,"K07552.01","FALSE POSITIVE",1.463148937,132.34802,11.04
4851195,,"K07553.01","FALSE POSITIVE",374.514471,430.92258,6.629
4862924,,"K07554.01","CANDIDATE",482.62011,314.0653,12.86
5024414,,"K07555.01","FALSE POSITIVE",1.525924746,132.69258,1.955
5177065,,"K07556.01","FALSE POSITIVE",1.25383162,132.6237,7.68
5268955,,"K07557.01","FALSE POSITIVE",12.82252496,137.3868282,18.8
5271090,,"K07558.01","CANDIDATE",10.1551587,139.292,1.802
5444276,,"K07559.01","CANDIDATE",0.708965461,132.20988,3.946
5598645,,"K07560.01","FALSE POSITIVE",0.648772102,131.74503,2.614
5696518,,"K07561.01","FALSE POSITIVE",0.96391996,132.3687769,3.01
5878506,,"K07562.01","CANDIDATE",11.76872507,137.1077498,1.11
5908086,,"K07563.01","FALSE POSITIVE",0.93705132,132.0238,4.808
6307243,,"K07564.01","FALSE POSITIVE",451.86579,254.8061,13.47
6350522,,"K07565.01","FALSE POSITIVE",491.52571,248.9249,12.43
6385302,,"K07566.01","FALSE POSITIVE",411.54039644,185.353922,17.33
6443274,,"K07567.01","CANDIDATE",608.20572,160.7147,13.63
6508734,,"K07568.01","FALSE POSITIVE",480.03759,318.4745,16.25
6527050,,"K07569.01","FALSE POSITIVE",0.87985197,131.7662713,1.3
5602588,,"K02369.03","CANDIDATE",7.2274321,134.4726,4.967
6590362,,"K07570.01","FALSE POSITIVE",0.592618966,132.09892,0.811
6628740,,"K07571.01","FALSE POSITIVE",0.532854237,131.93754,3.231
6876575,,"K07572.01","CANDIDATE",91.069934,196.391,17.33
7031126,,"K07573.01","FALSE POSITIVE",0.566802672,131.81511,3.545
7031208,,"K07574.01","FALSE POSITIVE",0.566796331,131.8335,5.194
7031742,,"K07575.01","FALSE POSITIVE",0.566785459,131.82998,2.893
7032568,,"K07576.01","FALSE POSITIVE",0.566792936,131.8166,2.846
7032687,,"K07577.01","FALSE POSITIVE",0.5668004,131.81997,3.813
7115384,,"K07578.01","FALSE POSITIVE",0.566793614,131.65376,5.723
7116282,,"K07579.01","FALSE POSITIVE",0.566798676,131.81422,2.777
7116859,,"K07580.01","FALSE POSITIVE",0.5667638,131.8674,1.73
7133286,,"K07581.01","FALSE POSITIVE",38.51077573,155.594831,38.8558
7186259,,"K07582.01","FALSE POSITIVE",4.23965309,132.9703967,3.29
7214090,,"K07583.01","FALSE POSITIVE",0.577910513,131.79797,1.362
7281694,,"K07584.01","FALSE POSITIVE",0.566807725,131.7888,2.16
7362450,,"K07585.01","FALSE POSITIVE",0.566807422,131.81547,5.148
8007262,,"K07586.01","FALSE POSITIVE",1.345078434,132.04218,10.19
8096395,,"K07587.01","CANDIDATE",366.088938,165.426,11.887
8106973,,"K07588.01","FALSE POSITIVE",439.1076969,222.7449,26.2259
8168509,,"K07589.01","CANDIDATE",414.45008,318.0665,19.15
