time,flux
131.51165755352122,1.0403803629212014
131.53209205346502,1.0398184040517309
131.55252645341534,1.0399369131097342
131.57296075341583,1.0399005717529184
131.59339515336615,1.0400203596856483
131.61382965337543,1.0403944305431945
131.6342639533832,1.0399001454613428
131.65469835338445,1.0403575563219094
131.67513285345194,1.039894283952179
131.6955672534532,1.0397149217717658
131.71600155351916,1.040546936354348
131.7364359535277,1.0402565252185036
131.77730475365388,1.0399007848987063
131.79773915377882,1.0399849774848775
131.81817365383904,1.040138442452076
131.83860795396322,1.040298941230271
131.85904235402995,1.040318017778277
131.87947675414762,1.0404267221300425
131.89991115427256,1.0398042298568437
131.9203455543975,1.0398035904194805
131.94077995451516,1.0400185479464523
131.9612143546983,1.040036878484201
131.98164875488146,1.0396912625893227
132.00208315499913,1.0399096304488988
132.02251745518151,1.0401998284389553
132.04295195536542,1.039701387014242
132.0633863555413,1.0401336466718512
132.08382065572368,1.0396590775753687
132.14512385632406,1.0405909509595237
132.16555825656542,1.03974135184945
132.18599275680026,1.039710125991541
132.20642715704162,1.0400103418336228
132.2268614572822,1.0396673902610918
132.24729585752357,1.0397665030524075
132.26773035781662,1.0394765182081387
132.2881646580572,1.0394618111487823
132.3085990583495,1.039984444620408
132.32903355859162,1.0396686691358186
132.34946785889042,1.040098690762656
132.36990225918998,1.039933076485554
132.39033665948227,1.0396450099533754
132.41077105978184,1.0399878549530126
132.43120546007412,1.0398807491946553
132.4516398603737,1.039920820602757
132.47207436073222,1.0395206393862084
132.49250866103102,1.0404629569139645
132.51294306138152,1.039754673461186
132.53337736168032,1.0397786523623107
132.55381186203158,1.0400585127816602
132.57424626238935,1.0400325089955516
132.59468056274636,1.0404719090370511
132.6151150631049,1.0395622028148246
132.6355494634554,1.0401610359055802
132.65598386387137,1.040102420813942
132.67641816422838,1.0403862244303652
132.69685266463785,1.0403946436889824
132.71728706499562,1.039552398108587
132.73772136535263,1.039132287760881
132.7581558657621,1.0401560269795675
132.77859026617807,1.0398092387828566
132.7990245665933,1.039740392693405
132.819458967002,1.0399270018306026
132.83989346741873,1.0393406377684318
132.86032776783395,1.0397554194714431
132.88076216824265,1.0393544922446372
132.9011966686594,1.04028082383831
132.9216309690746,1.0397817429762335
132.94206536948332,1.0400021357207936
132.9624997699575,1.0404638094971155
132.98293427037424,1.040621111088494
133.0033685708404,1.0395064651913213
133.04423737173056,1.0402844473167023
133.06467177219747,1.0397076748149814
133.08510617261345,1.0402643050397575
133.10554057308764,1.040356064301395
133.12597497355455,1.0405726204217751
133.14640937402874,1.0402768806412364
133.16684377450292,1.0398882092972275
133.18727817496983,1.040411908497792
133.20771267544478,1.0404245906721648
133.2281469759182,1.0395531441188441
133.24858137638512,1.0402015336052577
133.2690157768593,1.0400398625252298
133.3098845778586,1.0399944624724335
133.33031887833204,1.0400685306336857
133.35075337880698,1.0400068249281247
133.3711877793321,1.0403111971130683
133.3916221798063,1.039926788684815
133.41205658033869,1.0399282807053292
133.4324909808056,1.0396213507709324
133.45292538127978,1.0403213215379876
133.47335968181142,1.0403205755277303
133.4937941822791,1.0405665457668234
133.51422858281148,1.0396525766288414
133.5346628832849,1.0407845939077178
133.5550973838108,1.0401978035539716
133.57553178434318,1.0401770218396633
133.5959660848166,1.0398110505220526
133.61640048534173,1.03984771159755
133.63683498587488,1.0399459718057147
133.6572693863418,1.0397796115183557
133.67770368687343,1.0397458279109932
133.71857258788077,1.0401372701502434
133.73900688840513,1.0397485988062345
133.75944128893752,1.040048175210953
133.7798757894052,1.040030057818992
133.80031008993683,1.0399033426481594
133.82074449046922,1.039662701053761
133.8411788909434,1.0400416742644258
133.86161329146853,1.0403383732010096
133.88204769200092,1.039559005628008
133.90248209253332,1.0393845458007136
133.92291649300023,1.0394734275942161
133.94335089353262,1.0402671825078926
133.96378529406502,1.0401992955744859
133.98421959453117,1.0404067929988856
134.00465409506432,1.0396229493643407
134.02508849559672,1.0401149964154208
134.04552279606287,1.0398642303961028
134.06595729659603,1.040023450299571
134.0863916970702,1.0394214200219989
134.10682599759457,1.0394764116352448
134.12726039812696,1.0398307665074218
134.1476948986019,1.0405999030826103
134.16812929906882,1.0399347816518565
134.18856359960046,1.0399171971243648
134.2089981001336,1.040581039680392
134.22943250060052,1.0402636656023942
134.24986680107395,1.0400604310937502
134.27030120154814,1.039090617759371
134.29073570207402,1.0401362044213045
134.31117000254744,1.0399972333676746
134.33160440302163,1.0401258668505973
134.3520389035475,1.0404114822062167
134.37247320402093,1.040036878484201
134.41334200496203,1.0398065744605094
134.43377640543622,1.04053766451258
134.4542108059104,1.0402246599232312
134.47464520637732,1.039766929343983
134.49507970685227,1.039860926636392
134.5155140073257,1.0400438057223036
134.5359484077344,1.0396350986742438
134.55638270820782,1.0402233810485046
134.59725160909147,1.0403753539951888
134.6176859095649,1.0397665030524075
134.63812030998088,1.0396158089804501
134.65855481044855,1.0406949661039582
134.67898921086453,1.0403021384170876
134.6994236112805,1.0403533999790477
134.7198580116892,1.0395841568309654
134.7402924121634,1.0400477489193776
134.76072671257862,1.0397339983197718
134.78116111298732,1.0401853345253866
134.80159561340406,1.039775455175494
134.82203001382004,1.039860180626135
134.84246431417705,1.0404617846121318
134.86289881458652,1.0398792571741409
134.8833332150025,1.039897161420314
134.903767615353,1.0396240150932796
134.9242019157682,1.0396584381380052
134.94463641612674,1.0398899144635296
134.96507081653544,1.040102420813942
134.98550511689245,1.04002835265269
135.005939617251,1.040163273936352
135.02637401760148,1.039741458422344
135.0468083179585,1.0405539701653446
135.06724271831627,1.0391868530825517
135.08767721866752,1.0398770191433693
135.10811151896633,1.0399624906042673
135.1285459193241,1.0396394681628933
135.14898041961715,1.0400667188944894
135.16941481997492,1.0397153480633414
135.18984912027372,1.0401966312521387
135.210283520566,1.0398622055111189
135.23071802086633,1.039577016447075
135.25115232116514,1.0393892350080447
135.27158672145742,1.040146009127542
135.29202102175623,1.0404051944054773
135.31245552199834,1.0398635909587393
135.33288992229063,1.0399231652064227
135.35332422253123,1.039898014003465
135.37375872277335,1.040130023193459
135.39419312306563,1.0396184733027973
135.414627523307,1.0401086020417873
135.43506182354758,1.0405610039763413
135.45549632372422,1.0397627730011214
135.47593072396558,1.0399120816254583
135.49636502414796,1.040200254730531
135.5167995243828,1.0398407843594473
135.53723392456595,1.0404307719000103
135.55766822474834,1.040531696430522
135.5781026249897,1.0398435552546885
135.59853712510812,1.0401976969810776
135.6189714252905,1.0403221741211386
135.63940582546638,1.039784194152793
135.65984032559209,1.0405485349477563
135.68027472577523,1.039774709165237
135.7007090258994,1.0397562720545943
135.72114342601708,1.039825864154303
135.74157792614278,1.0396790067065256
135.76201222625969,1.0397573377835332
135.78244662632642,1.0399487427009557
135.80288112645212,1.0398006063784517
135.8233154265181,1.0402656904873782
135.84374982657755,1.040198442991335
135.8641842267025,1.0395227708440862
135.88461862670374,1.0393693058768876
135.90505302677047,1.0397709791139509
135.9254874268372,1.0399298792987375
135.94592172684497,1.0395210656777838
135.96635622684698,1.039819363207776
135.98679062691372,1.039482912581772
